# MSU JPN 402 Article/Drama Vocab and Kanji			
# Compiled in Anki format by Kenneth Hanson, Spring 2013			
# Last updated 6/16/12			
# To import in Anki, delete the line number column and export as a Unicode (UTF-8) tab-delimited text file			
# Note: Kanji that aren't in the main vocab are listed last for each article/clip			
# Note: Anki will not import facts with 'duplicate items' -- vocab that appear in multiple articles will only be imported once.			
			
# Item	Reading	Meaning	Card Tags
			
# Article 1: Shuushoku			
就職する	しゅうしょく（する）	to get employed (full-time)	article01, vocab-know, kanji-r
戦線	せんせん	battlefront	article01, vocab-opt
寒風	かんぷう	冷（つめ）たい風（かぜ）	article01, vocab-opt
兆し	きざし	indication; sign	article01, vocab-opt
売り手	う（り）て	＝売る人　⇔　買い手	article01, vocab-know
市場	しじょう	(conceptual) market     Cf.市場 (いちば)	article01, article02, vocab-know
一変	いっぺん	＝一度に変わること	article01, vocab-rec
景気	けいき	condition of economy   Cf. 経済	article01, vocab-know, kanji-r
急激な	きゅうげき（な）	＝急な	article01, vocab-rec
悪化	あっか	＝悪くなること	article01, vocab-know, kanji-rw
内定	ないてい	job offer before one’s graduation	article01, vocab-know, kanji-r
取り消す	と（り）け（す）	to cancel	article01, vocab-know, kanji-rw
相次ぐ	あいつ（ぐ）	＝次々に起こる	article01, vocab-rec
厚生労働省	こうせいろうどうしょう	Ministry of Health, Labor, and Welfare	article01, article02, vocab-rec
実態	じったい	actual condition	article01, article04, vocab-know, kanji-r
調査する	ちょうさ（する）	＝調べる, to investigate	article01, vocab-know, kanji-r
業績	ぎょうせき	business performance	article01, vocab-rec
不振	ふしん	slackness	article01, vocab-rec
業務	ぎょうむ	business practice	article01, vocab-rec
縮小	しゅくしょう	＝小さくすること; shrinkage	article01, vocab-rec
加える	くわ（える）	to add	article01, vocab-know, kanji-rw
経営	けいえい	operation of business	article01, vocab-know, kanji-r
危機	きき	＝危ないこと; danger	article01, vocab-know
N的（な）	てき（な）	-ous; -ful; etc. (changing noun to adj.)	article01, vocab-know
状況	じょうきょう	situation	article01, drama11-3, vocab-know, kanji-rw
信用	しんよう	social credit; business confidence	article01, vocab-know
維持する	いじ（する）	to maintain	article01, vocab-rec
採用	さいよう	recruitment; adaptation of idea	article01, vocab-know
活動	かつどう	activity	article01, article07, vocab-know, kanji-rw
企業	きぎょう	＝会社	article01, vocab-know, kanji-r
指摘する	してき（する）	to point out	article01, vocab-know
首都圏	しゅとけん	Tokyo, Kanagawa, Saitama, and Chiba	article01, vocab-opt
私大	しだい	＝私立（しりつ private）大学	article01, vocab-rec
指導	しどう	guidance	article01, vocab-rec
担当者	たんとうしゃ	person in change	article01, vocab-know
職業	しょくぎょう	occupation	article01, vocab-know
進路	しんろ	path (after graduation)	article01, vocab-know
事務	じむ	administrative work	article01, vocab-know
不況	ふきょう	recession	article01, vocab-know, kanji-r
事態	じたい	case; situation	article01, vocab-rec
初	はつ	＝初めて　  Cf. 始める	article01, vocab-know
対応	たいおう	response	article01, vocab-know, kanji-rw
受ける	う（ける）	to receive; accept	article01, vocab-know
ハローワーク		National Employment Service Agency	article01, vocab-opt
(Xを) 通じて	つう（じて）	＝通（とお）して; through X	article01, vocab-know
年度	ねんど	fiscal year（usually 4月～3月）	article01, vocab-rec
報告する	ほうこく（する）	to report	article01, vocab-know, kanji-r
(Xを) 上回る	うわまわ（る）	to exceed	article01, vocab-rec
若年者	じゃくねんしゃ	＝若者	article01, vocab-opt
雇用	こよう	＝採用	article01, article02, vocab-rec
対策	たいさく	countermeasure	article01, vocab-know
～室	しつ	(lit. 部屋) a group in an organization	article01, vocab-rec
合理的（な）	ごうりてき（な）	logical; reasonable	article01, vocab-know, kanji-rw
撤回	てっかい	recall	article01, vocab-opt
罰則	ばっそく	punishment	article01, vocab-opt
強制力	きょうせいりょく	enforcing power	article01, vocab-know
最終	さいしゅう	＝最後の	article01, vocab-know, kanji-rw
手段	しゅだん	means	article01, vocab-know
労働審判	ろうどうしんぱん	labor tribunal	article01, vocab-opt
民事裁判	みんじさいばん	civil trial	article01, vocab-opt, kanji-r
争う	あらそ（う）	to fight in court; Cf. けんかする	article01, vocab-rec
弁護団	べんごだん	group of attorneys	article01, vocab-rec
リストラ		restructuring	article01, vocab-know
開設する	かいせつ（する）	＝開く	article01, vocab-know
無料	むりょう	＝ただ; free	article01, vocab-know, kanji-rw
応じる	おう（じる）	＝対応する	article01, vocab-know
#			
軽い	かるい	light (weight)	article01, vocab-old, kanji-rw
労働	ろうどう	labor	article01, article03, vocab-old, kanji-rw
現在	げんざい	now, present time	article01, vocab-old, kanji-r
裁判	さいばん	trial, judgment	article01, vocab-know, kanji-r
			
			
			
# Article 2: Eigo Kouyougo			
公用語	こうようご	official language	article02, vocab-know, kanji-rw
賛否両論	さんぴりょうろん	＝賛成と反対、両方の意見がある	article02, vocab-opt
眉間にしわを寄せる	みけん（に）（しわを）よ（せる）	to make a line between the eyebrows; to furrow one’s brow	article02, vocab-know
本社	ほんしゃ	cooperate headquarters	article02, vocab-rec
光景	こうけい	＝風景; scene	article02, vocab-rec
最大手	さいおおて	＝一番大きい会社	article02, vocab-rec
方針	ほうしん	policy	article02, vocab-know, kanji-r
打ち出す	う（ち）だ（す）	to come up with a policy; solution	article02, vocab-know
円高	えんだか	＝円が高くなること; strong yen	article02, vocab-know, kanji-rw
買収	ばいしゅう	acquisition of a company; buy out	article02, vocab-rec
後押しする	あと（おしする）	to back up; boost up	article02, vocab-rec
生き残る	い（き）のこ（る）	to survive	article02, , kanji-rw
新興	しんこう	＝新しい	article02, vocab-rec
成長	せいちょう	development	article02, vocab-know, kanji-rw
#市場	しじょう	market	article02, vocab-know
欠かせない	か（かせない）	lit. cannot lack; vital; essential	article02, vocab-know
待ったなし	ま（ったなし）	cannot wait; must do something now	article02, vocab-rec
製造業	せいぞうぎょう	manufacturing industry	article02, vocab-rec
移転	いてん	relocation	article02, vocab-know, kanji-r
拍車がかかる	はくしゃ（がかかる）	to accelerate; spur	article02, vocab-opt
(Xを) 移す	うつ（す）	＝移転する　　Cf. (Xが) 移る	article02, vocab-know, kanji-r
可能性	かのうせい	possibility	article02, vocab-know, kanji-rw
縮小する	しゅくしょう（する）	to shrink; reduce; scale-down	article02, vocab-know, kanji-r
進出する	しんしゅつ（する）	to break into a new market; to move into a new territory	article02, vocab-know
研究開発部門	けんきゅうかいはつぶもん	research & development division	article02, vocab-rec
新卒	しんそつ	新しい卒業生; new graduates	article02, vocab-rec
採用する	さいよう（する）	to recruit (personnel); adapt (idea)	article02, vocab-know
教授	きょうじゅ	professor	article02, vocab-know
